Date,CIEN
2011-08-09,12.09000015258789
2011-08-10,11.449999809265137
2011-08-11,13.069999694824219
2011-08-12,12.819999694824219
2011-08-15,13.239999771118164
2011-08-16,12.739999771118164
2011-08-17,12.220000267028809
2011-08-18,10.949999809265137
2011-08-19,10.710000038146973
2011-08-22,10.699999809265137
2011-08-23,11.199999809265137
2011-08-24,11.0600004196167
2011-08-25,10.449999809265137
2011-08-26,10.779999732971191
2011-08-29,12.130000114440918
2011-08-30,12.619999885559082
2011-08-31,12.239999771118164
2011-09-01,14.710000038146973
2011-09-02,13.779999732971191
2011-09-06,13.069999694824219
2011-09-07,13.729999542236328
2011-09-08,13.09000015258789
2011-09-09,12.550000190734863
2011-09-12,12.819999694824219
2011-09-13,13.930000305175781
2011-09-14,13.960000038146973
2011-09-15,13.6899995803833
2011-09-16,13.010000228881836
2011-09-19,12.600000381469727
2011-09-20,12.75
2011-09-21,12.039999961853027
2011-09-22,11.239999771118164
2011-09-23,11.449999809265137
2011-09-26,11.550000190734863
2011-09-27,12.289999961853027
2011-09-28,11.369999885559082
2011-09-29,11.720000267028809
2011-09-30,11.199999809265137
2011-10-03,10.279999732971191
2011-10-04,10.710000038146973
2011-10-05,11.369999885559082
2011-10-06,11.949999809265137
2011-10-07,11.569999694824219
2011-10-10,11.779999732971191
2011-10-11,12.09000015258789
2011-10-12,11.899999618530273
2011-10-13,11.770000457763672
2011-10-14,12.390000343322754
2011-10-17,11.789999961853027
2011-10-18,12.289999961853027
2011-10-19,11.779999732971191
2011-10-20,12.380000114440918
2011-10-21,12.670000076293945
2011-10-24,13.739999771118164
2011-10-25,12.119999885559082
2011-10-26,12.40999984741211
2011-10-27,13.180000305175781
2011-10-28,13.819999694824219
2011-10-31,13.180000305175781
2011-11-01,13.25
2011-11-02,13.470000267028809
2011-11-03,13.75
2011-11-04,13.680000305175781
2011-11-07,13.220000267028809
2011-11-08,13.59000015258789
2011-11-09,12.850000381469727
2011-11-10,13.130000114440918
2011-11-11,13.600000381469727
2011-11-14,14.010000228881836
2011-11-15,13.670000076293945
2011-11-16,13.430000305175781
2011-11-17,13.029999732971191
2011-11-18,12.859999656677246
2011-11-21,12.289999961853027
2011-11-22,11.5600004196167
2011-11-23,11.029999732971191
2011-11-25,10.970000267028809
2011-11-28,11.550000190734863
2011-11-29,11.479999542236328
2011-11-30,12.109999656677246
2011-12-01,12.050000190734863
2011-12-02,11.949999809265137
2011-12-05,11.890000343322754
2011-12-06,11.5
2011-12-07,11.90999984741211
2011-12-08,12.029999732971191
2011-12-09,12.220000267028809
2011-12-12,11.729999542236328
2011-12-13,11.270000457763672
2011-12-14,10.8100004196167
2011-12-15,10.65999984741211
2011-12-16,10.770000457763672
2011-12-19,10.380000114440918
2011-12-20,11.640000343322754
2011-12-21,11.289999961853027
2011-12-22,12.0
2011-12-23,12.109999656677246
2011-12-27,12.029999732971191
2011-12-28,11.949999809265137
2011-12-29,12.1899995803833
2011-12-30,12.100000381469727
2012-01-03,12.460000038146973
2012-01-04,12.170000076293945
2012-01-05,13.180000305175781
2012-01-06,13.569999694824219
2012-01-09,13.9399995803833
2012-01-10,13.819999694824219
2012-01-11,14.3100004196167
2012-01-12,14.600000381469727
2012-01-13,14.479999542236328
2012-01-17,14.550000190734863
2012-01-18,15.010000228881836
2012-01-19,15.239999771118164
2012-01-20,15.270000457763672
2012-01-23,14.869999885559082
2012-01-24,15.149999618530273
2012-01-25,15.0600004196167
2012-01-26,15.34000015258789
2012-01-27,15.029999732971191
2012-01-30,14.600000381469727
2012-01-31,14.550000190734863
2012-02-01,14.869999885559082
2012-02-02,14.739999771118164
2012-02-03,15.460000038146973
2012-02-06,15.899999618530273
2012-02-07,16.170000076293945
2012-02-08,16.700000762939453
2012-02-09,16.530000686645508
2012-02-10,16.239999771118164
2012-02-13,16.440000534057617
2012-02-14,16.920000076293945
2012-02-15,16.709999084472656
2012-02-16,17.15999984741211
2012-02-17,17.0
2012-02-21,15.579999923706055
2012-02-22,14.9399995803833
2012-02-23,15.430000305175781
2012-02-24,15.680000305175781
2012-02-27,15.550000190734863
2012-02-28,15.279999732971191
2012-02-29,14.890000343322754
2012-03-01,14.869999885559082
